Amount,PersonID,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
6462,C1186,3,8,372,17,17,3701,17,2,Area2,1
2709,C1187,2,7,363,9,9,331,9,2,Area2,3
2844,C1193,3,6,459,6,6,340,6,2,Area2,3
3590,C1200,2,5,372,10,10,2992,10,2,Area2,1
2531,C1208,2,6,384,6,6,880,6,2,Area2,3
2503,C1220,4,9,367,10,10,890,10,2,Area2,1
3461,C1226,3,7,366,11,11,1512,11,2,Area2,1
3908,C1228,5,11,390,12,10,1074,12,1,Area2,3
3566,C1234,3,7,315,13,11,1523,13,2,Area2,1
4498,C1238,2,7,299,19,19,923,19,2,Area2,1
2712,C1262,3,9,400,8,8,1549,8,2,Area2,3
3933,C1263,3,7,377,13,13,2016,13,2,Area2,2
2687,C1265,3,6,392,15,12,2924,15,2,Area2,2
3318,C1267,2,6,436,12,12,5233,12,2,Area2,2
7277,C1268,3,6,412,29,23,2196,29,2,Area2,1
3414,C1270,3,6,372,14,10,2572,14,1,Area2,3
4758,C1284,3,21,213,12,12,1057,12,2,Area2,2
2871,C1286,4,21,374,8,8,1131,8,2,Area2,2
5795,C1291,3,6,455,13,13,1217,13,2,Area2,3
3104,C1294,2,5,432,11,11,219,11,2,Area2,2
2734,C1298,3,8,244,7,7,1115,7,2,Area2,2
3492,C1303,2,5,255,8,8,89,8,2,Area2,3
3108,C1304,2,6,256,7,7,1510,7,2,Area2,1
7879,C1305,4,9,464,23,23,3594,23,2,Area2,2
3541,C1310,3,7,378,18,18,488,18,2,Area2,2
3389,C1311,3,8,364,15,15,591,15,2,Area2,1
5091,C1318,2,6,470,18,18,2418,18,2,Area2,3
4665,C1327,3,5,373,18,18,887,18,2,Area2,3
4016,C1328,2,5,446,12,12,1478,12,2,Area2,1
3480,C1333,3,11,202,19,19,211,19,2,Area2,3
2670,C1334,2,7,324,11,11,1273,11,2,Area2,3
2816,C1337,3,15,365,21,21,5,21,2,Area2,3
6950,C1349,2,5,352,19,19,3227,19,2,Area2,1
3692,C1354,3,5,352,13,13,4480,13,2,Area2,3
6896,C1356,2,5,419,33,33,2655,33,2,Area2,2
2929,C1358,2,6,405,14,14,2125,14,2,Area2,3
3680,C1360,4,12,404,16,13,3343,16,2,Area2,1
4112,C1362,2,11,456,12,11,1587,12,2,Area2,3
3063,C1367,3,9,378,11,11,2633,11,2,Area2,3
7846,C1368,3,6,365,29,29,162,29,2,Area2,3
3860,C1372,4,6,367,14,14,98,14,2,Area2,3
2802,C1377,2,5,459,20,13,1176,20,2,Area2,2
2839,C1380,2,6,227,14,14,613,14,2,Area2,1
3571,C1396,3,9,322,12,12,841,12,2,Area2,1
2603,C1397,3,6,381,7,7,231,7,2,Area2,1
2737,C1400,4,7,158,15,15,4014,15,2,Area2,3
3431,C1409,2,6,220,16,16,391,16,2,Area2,2
3098,C1411,2,6,307,11,10,667,11,2,Area2,1
3868,C1413,2,7,303,15,15,1799,15,2,Area2,1
5356,C1431,4,7,363,19,12,681,19,2,Area2,3
2911,C1437,2,5,127,8,8,741,8,2,Area2,3
2595,C1438,4,9,360,13,13,231,13,2,Area2,3
2564,C1440,3,6,412,8,8,1373,8,2,Area2,2
9509,C1452,3,7,359,27,27,2465,27,2,Area2,2
3576,C1454,2,4,281,18,18,253,18,2,Area2,1
3256,C1461,3,6,280,9,7,772,9,2,Area2,1
3292,C1464,3,5,402,16,16,498,16,2,Area2,3
2802,C1472,3,4,369,10,10,996,10,2,Area2,1
3250,C1474,3,4,425,15,13,627,15,2,Area1,3
8501,C1479,3,6,397,39,26,994,39,2,Area2,1
2688,C1480,3,5,361,15,11,7,15,2,Area1,3
3478,C1481,4,16,393,17,15,474,17,2,Area1,3
6050,C1483,5,20,372,28,25,8811,24,1,Area1,3
2661,C1488,2,5,364,8,8,136,3,2,Area1,3
3149,C1490,3,5,216,8,10,263,6,2,Area1,1
4501,C1491,3,4,460,19,17,925,19,1,Area1,1
3125,C1494,2,5,174,19,15,584,19,2,Area1,2
2625,C1495,6,9,369,15,12,838,15,2,Area1,2
2500,C1498,4,6,359,10,10,2576,10,2,Area1,2
6500,C1509,3,9,329,19,19,190,19,2,Area1,1
5981,C1512,3,7,255,24,24,244,22,2,Area1,3
13438,C1513,8,13,412,54,45,9357,54,1,Area1,2
3750,C1516,3,7,436,18,18,2249,18,2,Area1,1
7272,C1519,3,6,389,21,21,451,15,1,Area1,3
3438,C1523,2,3,463,15,15,929,15,1,Area1,3
3188,C1525,4,6,392,13,13,1414,13,2,Area1,1
3563,C1526,2,4,390,17,13,1435,17,2,Area1,3
3688,C1533,2,7,385,14,11,643,14,1,Area1,2
3125,C1536,2,4,419,11,9,21,9,1,Area1,2
3699,C1537,3,6,388,17,15,5160,12,1,Area1,2
2829,C1538,3,10,458,12,9,2067,10,1,Area1,1
3000,C1542,4,9,209,14,14,2317,14,2,Area1,1
15119,C1546,4,5,330,52,51,2608,34,2,Area1,1
3339,C1547,3,6,373,28,16,366,26,1,Area1,1
4198,C1558,2,5,399,11,10,692,3,2,Area1,3
3375,C1567,2,6,374,19,17,5285,19,2,Area1,3
5500,C1577,2,5,317,12,10,1104,4,1,Area1,1
7813,C1581,3,5,370,37,28,7637,36,2,Area1,2
5999,C1584,4,11,364,10,10,205,5,1,Area1,2
5563,C1585,3,6,423,21,21,9213,21,2,Area1,1
7188,C1586,4,7,340,26,26,1291,22,2,Area1,2
6162,C1589,4,11,286,27,27,604,23,2,Area1,3
4500,C1591,7,11,336,17,17,6662,17,2,Area1,3
4250,C1595,2,7,286,11,11,1001,11,2,Area1,1
9030,C1600,3,7,460,27,27,1558,23,2,Area1,2
4624,C1604,3,7,355,6,6,42,0,2,Area1,2
3042,C1609,3,12,287,8,8,51,2,2,Area1,2
3999,C1614,2,9,193,9,9,389,6,2,Area1,1
3625,C1622,3,8,327,13,13,338,13,2,Area1,3
2718,C1624,3,6,216,12,12,1416,10,2,Area1,1
6312,C1630,3,6,367,17,12,165,13,2,Area1,3
5936,C1632,2,7,132,16,14,603,13,1,Area1,2
3060,C1634,5,14,337,4,13,120,1,2,Area1,2
3313,C1642,5,9,330,17,17,622,17,2,Area1,3
7647,C1645,3,3,407,21,18,311,16,2,Area1,3
5749,C1651,3,8,331,26,25,3592,26,2,Area1,3
4937,C1653,3,5,433,14,11,230,10,1,Area1,3
3625,C1654,2,8,213,17,12,30,17,2,Area1,2
4943,C1655,2,5,369,13,13,715,5,2,Area1,2
2502,C1656,2,9,372,16,10,21,12,1,Area1,3
3438,C1657,3,8,448,21,16,1013,20,1,Area1,3
2812,C1661,3,7,399,8,8,1858,4,1,Area1,2
3375,C1664,4,11,365,14,12,799,14,2,Area1,1
3125,C1667,3,12,241,7,7,868,7,2,Area1,1
2563,C1669,3,8,151,19,13,576,19,1,Area1,3
5471,C1671,3,23,205,17,17,158,8,2,Area1,2
3313,C1678,2,7,309,14,10,634,14,2,Area1,3
2625,C1684,3,8,352,14,14,1221,14,2,Area1,1
2511,C1685,3,23,379,6,6,242,0,2,Area1,1
